Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2020-07-19,5,10,8,8,10,8,8,6,7,6,9,9,8,10,11,9,10,10,7,8,16,8,9,7,10,8,8,8,9,6,5,5,9,9,9,7,7,9,8,7,8,8,3,9,9,6,7,9,8,6
2020-07-26,5,7,10,8,9,8,9,7,10,8,7,8,7,8,10,10,13,9,9,5,22,10,11,4,10,3,8,8,9,10,11,3,8,9,9,8,9,7,7,9,8,6,5,3,9,8,8,11,9,9
2020-08-02,7,4,8,7,11,6,10,0,8,6,9,8,10,7,11,9,10,8,10,9,3,11,9,0,9,7,12,8,8,9,6,3,9,10,11,3,10,7,7,7,9,7,10,6,8,10,9,10,7,7
2020-08-09,4,6,9,8,9,6,9,11,13,7,7,8,7,8,9,5,12,9,5,4,16,8,9,6,10,9,21,10,8,9,7,11,8,8,8,7,9,8,8,11,7,7,7,8,9,13,12,10,10,10
2020-08-16,9,9,11,8,11,8,9,13,10,7,6,8,8,9,10,8,13,10,9,12,5,10,9,6,11,12,4,9,9,8,9,16,8,9,9,6,10,8,8,10,9,5,8,8,9,11,11,9,14,8
2020-08-23,10,9,9,9,12,5,7,6,11,6,4,8,8,7,10,9,12,10,11,4,17,10,9,7,9,9,12,11,10,8,7,9,9,8,9,8,10,10,7,7,6,6,16,7,10,7,9,11,8,7
2020-08-30,7,7,8,9,10,7,10,7,6,8,10,8,9,6,9,7,11,10,10,7,14,11,9,13,10,11,9,7,9,7,7,6,10,9,10,7,9,9,8,8,9,7,9,7,9,8,13,11,9,8
2020-09-06,10,8,10,9,9,7,11,8,12,6,8,9,8,8,9,9,9,9,4,9,17,9,9,0,9,12,20,10,10,8,10,25,10,8,10,7,11,8,8,9,7,5,8,3,8,9,10,9,10,11
2020-09-13,9,7,9,8,10,6,10,13,11,9,7,9,10,7,9,7,10,9,3,5,13,9,10,9,10,9,17,10,8,7,9,7,9,9,9,8,12,6,7,9,9,5,13,6,10,11,9,10,8,8
2020-09-20,8,8,10,9,11,6,12,16,4,8,7,8,8,8,11,10,12,9,5,5,9,11,9,10,10,10,9,10,8,7,6,6,10,9,9,8,9,10,8,8,10,8,18,6,8,8,9,9,11,8
2020-09-27,9,8,9,9,11,7,9,10,12,7,7,8,10,6,10,8,9,10,8,6,6,9,10,10,9,9,16,8,8,6,7,6,9,10,9,4,9,9,8,6,10,8,11,7,9,8,10,11,8,10
2020-10-04,8,8,10,8,11,7,11,11,7,7,7,8,9,11,11,9,10,10,9,8,8,9,10,4,10,11,7,12,8,10,11,11,10,9,9,6,9,8,9,8,12,5,14,8,9,14,13,11,7,9
2020-10-11,11,7,9,8,10,7,9,10,9,7,10,8,10,8,10,9,12,9,3,17,9,11,10,9,10,8,6,11,10,9,8,6,10,8,9,8,9,10,9,7,8,9,7,3,10,12,7,12,10,9
