Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2020-11-15,79,64,79,78,81,80,88,76,43,72,74,79,85,83,85,71,84,52,77,84,80,72,80,72,85,77,62,89,86,79,76,84,86,57,79,75,81,90,71,67,70,49,82,74,64,73,79,71,89,63
2020-11-22,67,81,71,76,70,71,79,43,36,61,81,56,71,77,71,59,68,43,57,76,78,76,66,70,68,45,59,84,72,67,65,77,76,49,74,68,71,82,62,60,62,40,69,70,42,73,79,59,72,55
2020-11-29,72,72,79,57,82,76,81,67,42,69,84,87,83,81,69,73,81,46,76,78,82,76,80,61,84,62,56,75,98,79,64,82,80,48,78,75,83,87,91,75,81,41,78,76,61,70,82,68,87,67
2020-12-06,73,48,92,64,80,83,85,71,38,65,80,64,86,82,87,69,77,41,69,84,88,76,73,60,81,64,67,86,81,75,59,82,73,67,77,91,78,87,73,75,52,51,80,81,67,75,83,61,80,75
2020-12-13,67,73,88,63,79,81,80,56,41,65,73,89,80,82,67,77,66,51,55,80,83,76,75,64,82,81,57,88,68,71,62,80,70,57,78,75,73,80,61,66,71,47,74,88,52,72,83,65,79,19
2020-12-20,62,43,71,60,66,74,67,64,35,55,73,51,72,72,60,57,62,37,48,79,72,71,63,68,68,78,50,83,60,72,52,71,67,56,74,70,68,75,67,57,67,38,68,67,54,68,72,40,75,40
2020-12-27,71,64,75,66,76,73,78,69,38,62,75,81,74,76,69,75,75,44,67,81,78,68,63,63,71,51,54,70,83,78,68,81,75,64,77,68,82,74,42,66,63,44,76,82,47,73,93,75,78,52
2021-01-03,83,51,69,67,81,89,84,60,41,69,82,73,84,87,86,84,86,43,74,85,90,77,75,62,84,71,73,76,63,83,63,83,78,68,84,84,82,90,71,67,70,49,78,66,45,76,85,71,93,37
2021-01-10,76,50,78,71,80,78,82,68,40,68,81,71,91,84,78,72,66,47,77,87,88,77,83,58,90,78,53,87,80,82,64,78,82,63,86,83,81,91,63,74,64,47,76,79,68,80,81,70,84,31
2021-01-17,99,56,79,64,76,89,77,60,41,69,62,88,83,82,80,82,82,51,67,81,86,83,74,63,77,64,66,81,74,77,58,86,81,77,88,85,74,83,74,69,79,49,76,71,57,82,84,81,85,61
2021-01-24,84,72,95,80,82,86,75,69,44,76,66,88,89,83,88,80,84,49,72,80,87,82,81,59,82,74,65,76,83,80,83,86,86,72,88,91,99,86,83,74,69,54,91,98,68,78,88,79,95,24
2021-01-31,89,65,95,77,80,85,82,59,39,69,80,94,91,85,84,79,77,48,70,81,90,80,89,56,89,81,62,86,76,78,77,84,83,72,90,87,90,86,75,74,60,52,83,92,60,79,88,71,91,68
2021-02-07,83,74,95,80,84,86,76,72,42,68,77,68,82,84,81,79,71,46,73,78,83,79,73,58,83,50,51,71,89,77,74,84,84,61,86,76,87,90,79,75,48,52,78,82,50,73,78,70,80,40
2021-02-14,84,74,91,64,79,89,81,87,44,74,74,69,83,85,79,85,78,41,91,78,92,79,80,55,85,81,46,92,87,83,72,82,86,61,81,75,80,92,87,83,68,49,59,91,65,81,79,79,85,71
2021-02-21,91,72,85,71,88,94,85,66,46,72,80,84,88,93,86,94,88,48,73,85,89,87,87,69,93,62,65,85,94,86,59,91,85,63,95,86,94,94,87,82,64,56,84,83,58,84,93,72,88,46
2021-02-28,89,79,86,78,87,86,99,90,42,68,67,94,91,90,80,80,81,55,67,89,91,81,89,77,85,71,66,84,91,81,70,85,84,79,94,95,99,95,55,75,67,54,82,91,57,78,91,76,90,54
2021-03-07,83,65,84,78,81,82,80,48,42,66,71,88,87,93,89,77,86,50,75,85,92,79,74,64,85,70,50,84,80,85,69,86,77,67,89,98,95,92,57,68,66,54,84,90,51,79,95,63,93,53
2021-03-14,78,48,89,67,87,80,84,73,42,63,63,64,78,80,79,75,85,43,54,82,93,74,82,66,75,64,67,88,78,82,62,80,77,56,85,79,81,86,86,68,77,47,79,85,45,76,83,70,76,39
