Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2020-11-15,73,64,70,64,67,67,72,62,71,74,66,75,72,71,68,70,66,70,62,79,62,74,74,85,75,65,74,60,72,68,78,66,61,64,68,66,67,69,69,68,75,57,80,60,67,77,70,68,68,68
2020-11-22,62,50,55,52,52,56,50,55,57,66,44,64,56,53,58,54,52,56,62,38,66,59,60,57,56,49,55,54,56,53,58,46,55,52,55,53,53,61,54,49,58,48,73,49,55,61,52,60,50,55
2020-11-29,71,70,67,63,68,63,62,61,78,65,61,63,70,66,66,60,68,67,59,85,60,68,73,68,71,73,58,65,69,64,73,52,61,64,65,50,62,72,64,78,70,57,65,62,66,68,65,63,61,64
2020-12-06,65,67,71,61,69,65,59,59,73,62,56,73,69,70,70,72,67,67,69,80,58,68,69,48,74,69,49,67,70,54,77,59,63,59,73,62,64,69,63,66,68,61,73,53,63,74,72,67,71,71
2020-12-13,65,58,62,63,63,61,63,49,79,59,58,70,61,61,61,63,63,56,49,69,65,65,64,74,67,53,54,63,65,61,62,52,63,59,62,45,61,66,62,70,66,55,64,60,62,72,63,57,63,66
2020-12-20,52,43,49,46,48,54,43,45,45,47,43,56,50,53,50,43,51,47,50,49,45,47,52,68,50,39,53,49,52,47,49,51,48,48,48,43,48,55,47,48,56,41,51,40,50,49,47,51,51,49
2020-12-27,61,46,55,50,58,55,56,42,54,58,43,62,58,55,53,59,53,54,45,57,45,60,59,45,62,47,55,53,58,55,55,44,52,53,54,42,56,54,48,55,54,49,56,51,53,57,49,57,51,49
2021-01-03,64,64,67,60,63,62,65,70,72,56,56,72,67,61,65,64,56,63,61,61,68,68,67,74,68,60,51,61,68,62,66,59,64,61,61,61,65,67,61,63,58,56,53,65,61,64,63,70,62,60
2021-01-10,67,62,67,65,66,68,70,61,72,64,53,70,67,70,61,60,63,69,73,59,65,66,72,56,76,56,53,65,67,60,70,47,60,56,65,54,63,65,66,69,67,67,64,61,63,74,65,65,67,64
2021-01-17,71,58,67,67,69,66,64,75,69,64,74,69,68,67,70,72,63,67,70,69,68,71,70,68,68,74,56,67,67,63,77,91,68,60,68,61,68,71,63,69,65,66,70,69,64,76,78,62,64,68
2021-01-24,81,68,68,65,72,64,68,67,71,75,60,68,71,70,72,67,67,73,59,54,75,75,74,69,69,68,54,68,76,69,72,59,64,63,69,61,69,72,65,76,70,65,70,72,70,79,76,71,63,71
2021-01-31,79,63,71,66,71,64,71,69,68,63,75,69,69,72,77,73,70,71,65,71,75,72,78,75,77,66,88,73,70,64,73,59,74,65,70,74,72,72,63,69,68,62,84,78,69,75,81,62,67,72
2021-02-07,78,61,72,66,69,65,66,64,77,64,74,77,71,71,72,60,67,70,68,71,61,73,73,54,70,58,72,68,68,65,68,81,71,59,67,59,72,69,67,61,72,59,63,69,66,64,77,63,65,65
2021-02-14,75,64,75,71,69,68,64,73,80,49,66,73,73,73,70,58,68,77,68,88,87,70,47,92,73,65,62,72,68,65,72,60,73,63,72,77,72,74,67,51,54,63,59,67,66,66,63,66,72,65
2021-02-21,76,73,74,71,76,72,67,68,73,71,74,70,78,71,77,72,68,78,51,76,68,70,72,73,84,65,91,74,78,72,74,71,81,67,75,69,79,79,68,80,76,65,83,76,73,82,66,65,70,70
2021-02-28,78,71,74,74,78,69,72,74,73,65,72,81,70,68,77,76,68,76,63,60,66,78,73,62,76,74,68,74,77,77,81,49,74,66,75,65,83,75,77,67,79,61,73,80,73,83,72,69,69,78
2021-03-07,86,72,73,69,70,72,67,75,75,70,75,74,74,64,69,80,69,74,55,72,66,79,64,47,77,72,74,65,73,75,68,68,80,65,71,67,77,79,66,69,73,66,64,67,69,76,74,67,71,73
2021-03-14,74,58,76,67,71,70,64,74,72,59,69,81,66,65,77,59,68,72,60,54,73,70,73,61,76,71,70,68,74,68,63,72,69,63,69,67,64,72,66,68,63,62,73,65,71,79,71,70,66,66
